,Date,Open,High,Low,Close,Volume
0,2024-01-02,2065.12,2078.65,2055.61,2058.69,150166
1,2024-01-03,2058.71,2065.72,2030.31,2040.83,178191
2,2024-01-04,2042.0,2050.66,2035.94,2043.23,134077
3,2024-01-05,2042.78,2063.69,2024.13,2044.74,186826
4,2024-01-08,2044.28,2046.29,2016.47,2027.66,151198
5,2024-01-09,2028.15,2041.67,2025.77,2029.82,148751
6,2024-01-10,2030.43,2039.96,2020.17,2023.88,144390
7,2024-01-11,2024.78,2039.66,2013.02,2028.4,199085
8,2024-01-12,2029.02,2061.99,2029.01,2048.52,187944
9,2024-01-15,2047.63,2058.3,2045.56,2053.63,84472
10,2024-01-16,2054.76,2055.29,2023.94,2027.91,192091
11,2024-01-17,2027.52,2032.61,2001.5,2005.95,181228
12,2024-01-18,2006.67,2023.0,2005.48,2022.54,150791
13,2024-01-19,2023.9,2039.16,2020.09,2029.01,134144
14,2024-01-22,2028.47,2031.84,2016.27,2020.93,137921
15,2024-01-23,2021.46,2037.58,2019.28,2028.78,133001
16,2024-01-24,2029.05,2036.66,2011.19,2014.35,153946
17,2024-01-25,2015.77,2025.35,2009.28,2019.95,146345
18,2024-01-26,2020.02,2026.81,2015.91,2018.39,111725
19,2024-01-29,2023.77,2037.58,2019.32,2031.95,121767
20,2024-01-30,2032.81,2048.67,2029.05,2036.39,130888
21,2024-01-31,2036.5,2056.0,2030.82,2038.98,179546
22,2024-02-01,2040.44,2065.43,2029.99,2054.71,194092
23,2024-02-02,2054.51,2057.65,2027.72,2039.59,156960
24,2024-02-05,2041.63,2042.24,2014.86,2024.82,154345
25,2024-02-06,2025.4,2038.87,2022.9,2036.01,133221
26,2024-02-07,2035.8,2044.59,2030.57,2034.85,113847
27,2024-02-08,2035.38,2038.69,2020.17,2034.01,130253
28,2024-02-09,2034.93,2037.25,2020.31,2024.01,110248
29,2024-02-12,2026.78,2027.59,2011.87,2019.91,98366
30,2024-02-13,2019.82,2032.42,1990.08,1992.86,125456
31,2024-02-14,1992.15,1996.12,1984.17,1992.19,125838
32,2024-02-15,1993.35,2008.28,1990.25,2004.2,133302
33,2024-02-16,2004.7,2015.18,1995.08,2013.61,123508
34,2024-02-19,2010.36,2023.01,2010.22,2017.68,67708
35,2024-02-20,2017.0,2030.91,2015.04,2023.83,111791
36,2024-02-21,2024.37,2032.27,2020.02,2025.68,114740
37,2024-02-22,2026.19,2034.94,2019.6,2024.46,118701
38,2024-02-23,2024.54,2041.35,2016.02,2035.86,119567
39,2024-02-26,2033.22,2037.06,2025.07,2031.01,104451
40,2024-02-27,2030.95,2039.46,2028.8,2030.18,98165
41,2024-02-28,2029.92,2037.93,2024.5,2034.93,111878
42,2024-02-29,2035.27,2050.71,2028.04,2043.82,126380
43,2024-03-01,2043.43,2088.3,2039.05,2083.32,151380
44,2024-03-04,2082.8,2119.89,2079.43,2114.89,147535
45,2024-03-05,2113.85,2141.83,2110.44,2127.69,169474
46,2024-03-06,2127.5,2152.16,2123.69,2148.4,169567
47,2024-03-07,2147.73,2164.74,2144.1,2159.56,172481
48,2024-03-08,2158.98,2195.14,2154.0,2178.6,196169
49,2024-03-11,2179.9,2188.99,2174.8,2182.61,151931
50,2024-03-12,2181.95,2184.78,2150.62,2158.6,180028
51,2024-03-13,2158.52,2179.87,2155.8,2174.49,152890
52,2024-03-14,2174.16,2176.92,2152.72,2161.71,148894
53,2024-03-15,2162.32,2172.74,2155.21,2156.15,131555
54,2024-03-18,2153.26,2163.63,2146.07,2160.1,136892
55,2024-03-19,2160.2,2162.81,2147.15,2157.6,142274
56,2024-03-20,2157.92,2188.83,2149.59,2185.62,141301
57,2024-03-21,2187.48,2222.85,2166.37,2181.1,197546
58,2024-03-22,2182.1,2186.06,2157.1,2165.52,153668
59,2024-03-25,2166.31,2181.37,2163.53,2171.19,133194
60,2024-03-26,2171.76,2200.11,2167.63,2177.85,147522
61,2024-03-27,2178.68,2197.62,2173.37,2194.78,129521
62,2024-03-28,2191.78,2236.03,2187.34,2232.64,162896
63,2024-04-01,2239.91,2265.65,2228.5,2249.67,137681
64,2024-04-02,2249.92,2281.07,2246.67,2280.08,183659
65,2024-04-03,2281.45,2300.18,2265.4,2300.05,192855
66,2024-04-04,2299.63,2305.62,2279.94,2290.43,169797
67,2024-04-05,2291.66,2330.47,2267.73,2328.16,190360
68,2024-04-08,2327.77,2353.98,2302.86,2338.47,239511
69,2024-04-09,2337.67,2365.25,2337.24,2352.88,210100
70,2024-04-10,2352.76,2360.11,2319.26,2331.82,217263
71,2024-04-11,2334.43,2377.68,2325.56,2374.69,223566
72,2024-04-12,2374.0,2431.66,2333.87,2344.8,279732
73,2024-04-15,2360.22,2387.64,2324.16,2381.19,245412
74,2024-04-16,2382.75,2398.21,2362.99,2378.78,231064
75,2024-04-17,2383.57,2395.56,2354.55,2361.6,204456
76,2024-04-18,2364.69,2392.78,2363.74,2377.07,188789
77,2024-04-19,2379.53,2417.8,2372.78,2390.59,240774
78,2024-04-22,2384.28,2388.57,2324.56,2325.7,200207
79,2024-04-23,2330.34,2334.38,2291.31,2321.59,217129
80,2024-04-24,2322.18,2337.32,2311.77,2315.08,177862
81,2024-04-25,2317.53,2344.83,2304.95,2331.32,185342
82,2024-04-26,2332.56,2352.57,2326.29,2337.39,174963
83,2024-04-29,2333.77,2346.72,2319.68,2336.38,178583
84,2024-04-30,2335.97,2336.31,2285.09,2285.75,185253
85,2024-05-01,2288.22,2328.37,2281.58,2318.17,190034
86,2024-05-02,2320.26,2326.45,2285.47,2303.02,173033
87,2024-05-03,2305.17,2320.68,2277.18,2301.88,172303
88,2024-05-06,2302.17,2332.01,2291.76,2324.48,153548
89,2024-05-07,2325.25,2329.89,2309.98,2313.83,142010
90,2024-05-08,2315.16,2321.35,2303.63,2308.71,135889
91,2024-05-09,2310.31,2347.22,2306.55,2345.23,161583
92,2024-05-10,2346.26,2378.42,2345.3,2360.87,183389
93,2024-05-13,2361.52,2364.43,2332.13,2336.53,158903
94,2024-05-14,2337.39,2359.57,2334.82,2357.84,166952
95,2024-05-15,2357.23,2390.24,2351.82,2387.22,198068
96,2024-05-16,2387.73,2397.41,2370.97,2376.17,191292
97,2024-05-17,2378.08,2422.68,2373.94,2414.37,178633
98,2024-05-20,2425.26,2450.03,2407.27,2424.96,232023
99,2024-05-21,2427.3,2433.92,2406.18,2420.78,212785
100,2024-05-22,2421.28,2426.49,2374.92,2378.04,220511
101,2024-05-23,2380.47,2383.65,2326.9,2328.62,241143
102,2024-05-24,2329.24,2347.43,2325.36,2333.69,155471
103,2024-05-27,2335.97,2358.46,2332.3,2353.73,100713
104,2024-05-28,2352.29,2364.08,2340.26,2360.69,178755
105,2024-05-29,2361.67,2361.71,2334.47,2337.98,169700
106,2024-05-30,2338.6,2351.79,2322.57,2342.59,189259
107,2024-05-31,2343.48,2359.68,2320.57,2327.54,208605
108,2024-06-03,2328.69,2354.74,2314.65,2350.83,174040
109,2024-06-04,2351.38,2352.74,2315.59,2326.67,185945
110,2024-06-05,2328.15,2357.37,2325.86,2354.67,166500
111,2024-06-06,2355.7,2378.53,2353.45,2375.83,178485
112,2024-06-07,2376.37,2387.71,2286.73,2292.94,213532
113,2024-06-10,2290.24,2313.77,2287.7,2310.43,143010
114,2024-06-11,2310.68,2319.96,2297.69,2316.5,168244
115,2024-06-12,2316.67,2341.65,2310.67,2324.19,192460
116,2024-06-13,2324.52,2326.71,2295.57,2303.99,195861
117,2024-06-14,2303.79,2336.64,2301.53,2332.61,190973
118,2024-06-17,2331.05,2331.41,2309.97,2318.63,159484
119,2024-06-18,2320.18,2333.07,2306.59,2329.22,155066
120,2024-06-19,2328.89,2335.03,2323.72,2330.31,87189
121,2024-06-20,2329.31,2365.48,2327.67,2359.1,162861
122,2024-06-21,2359.5,2368.73,2316.7,2321.44,179658
123,2024-06-24,2321.04,2334.63,2317.72,2333.65,158770
124,2024-06-25,2333.91,2337.1,2315.52,2319.23,155930
125,2024-06-26,2319.93,2323.86,2293.67,2297.66,178371
126,2024-06-27,2298.71,2330.96,2296.5,2327.91,162167
127,2024-06-28,2327.04,2339.74,2319.04,2326.39,168061
128,2024-07-01,2323.01,2338.46,2318.55,2331.64,161947
129,2024-07-02,2331.79,2336.78,2319.02,2329.81,150239
130,2024-07-03,2330.25,2364.95,2326.83,2355.87,158121
131,2024-07-04,2356.17,2362.49,2350.46,2357.2,88056
132,2024-07-05,2356.85,2392.94,2348.88,2391.06,173469
133,2024-07-08,2389.49,2391.11,2351.05,2358.41,162674
134,2024-07-09,2358.94,2371.58,2349.44,2363.74,165924
135,2024-07-10,2363.58,2386.66,2363.15,2371.38,136513
136,2024-07-11,2371.91,2424.55,2371.17,2414.29,181139
137,2024-07-12,2413.15,2418.22,2391.39,2411.48,172596
138,2024-07-15,2411.7,2439.69,2401.3,2421.71,175874
139,2024-07-16,2422.05,2469.61,2419.98,2468.73,187469
140,2024-07-17,2467.77,2483.67,2451.45,2459.15,222853
141,2024-07-18,2458.49,2474.92,2440.32,2445.36,194782
142,2024-07-19,2444.79,2445.34,2393.78,2400.44,195086
143,2024-07-22,2403.84,2412.14,2383.85,2396.0,172205
144,2024-07-23,2397.66,2412.08,2388.28,2409.76,158839
145,2024-07-24,2408.69,2431.97,2397.09,2398.63,180151
146,2024-07-25,2397.77,2401.22,2353.13,2364.39,259929
147,2024-07-26,2364.55,2390.76,2355.73,2388.23,178425
148,2024-07-29,2388.08,2403.16,2375.98,2384.01,165342
149,2024-07-30,2382.33,2412.84,2376.44,2410.55,170847
150,2024-07-31,2410.9,2450.96,2403.84,2446.31,210179
151,2024-08-01,2447.61,2462.27,2430.17,2446.36,237987
152,2024-08-02,2447.16,2477.63,2410.74,2441.34,239335
153,2024-08-05,2440.47,2458.71,2364.25,2409.52,339620
154,2024-08-06,2411.15,2418.32,2381.57,2388.14,257859
155,2024-08-07,2390.12,2407.05,2378.98,2382.37,201309
156,2024-08-08,2381.41,2427.51,2380.96,2427.1,197484
157,2024-08-09,2426.69,2437.04,2416.88,2430.94,165597
158,2024-08-12,2428.22,2472.24,2423.8,2472.2,142464
159,2024-08-13,2470.34,2476.92,2458.45,2465.44,152190
160,2024-08-14,2466.24,2479.89,2438.02,2447.64,165982
161,2024-08-15,2448.28,2470.07,2432.17,2456.25,177998
162,2024-08-16,2455.82,2509.69,2450.76,2506.97,182048
163,2024-08-19,2506.25,2507.49,2485.66,2504.22,174344
164,2024-08-20,2503.7,2531.69,2497.29,2514.08,176366
165,2024-08-21,2513.9,2519.96,2493.64,2511.52,179893
166,2024-08-22,2512.15,2514.58,2470.84,2484.42,179284
167,2024-08-23,2485.26,2518.31,2484.33,2511.86,179930
168,2024-08-26,2510.94,2527.05,2508.66,2518.08,165650
169,2024-08-27,2517.66,2525.91,2503.46,2524.16,167567
170,2024-08-28,2525.16,2529.01,2493.62,2504.45,167765
171,2024-08-29,2506.29,2528.69,2503.59,2521.67,182965
172,2024-08-30,2520.71,2526.9,2494.15,2503.35,175723
173,2024-09-02,2502.68,2507.3,2490.05,2499.73,107300
174,2024-09-03,2499.35,2506.28,2473.34,2492.72,198476
175,2024-09-04,2492.69,2500.28,2471.86,2496.45,175394
176,2024-09-05,2495.32,2523.44,2493.83,2516.28,175661
177,2024-09-06,2516.27,2529.16,2485.15,2496.97,211046
178,2024-09-09,2496.93,2507.18,2485.56,2505.84,189416
179,2024-09-10,2506.66,2518.45,2500.1,2516.69,171799
180,2024-09-11,2516.73,2529.02,2500.97,2512.35,210318
181,2024-09-12,2512.31,2560.04,2510.99,2558.86,191903
182,2024-09-13,2558.33,2586.04,2556.67,2579.33,188383
183,2024-09-16,2578.27,2589.61,2575.33,2583.14,146037
184,2024-09-17,2582.52,2586.93,2560.77,2569.97,170862
185,2024-09-18,2570.21,2600.05,2546.82,2558.32,214719
186,2024-09-19,2558.56,2594.88,2550.99,2585.97,215305
187,2024-09-20,2586.45,2625.77,2584.8,2622.03,200674
188,2024-09-23,2620.59,2634.83,2613.85,2628.42,169390
189,2024-09-24,2626.82,2664.3,2622.65,2656.93,217103
190,2024-09-25,2658.47,2670.53,2649.7,2656.41,196844
191,2024-09-26,2658.15,2685.56,2654.85,2672.03,221270
192,2024-09-27,2671.47,2674.29,2643.11,2658.74,211756
193,2024-09-30,2661.38,2665.96,2624.7,2634.52,211730
194,2024-10-01,2633.56,2673.12,2633.02,2663.21,192189
195,2024-10-02,2660.83,2663.36,2641.11,2658.96,185400
196,2024-10-03,2658.79,2662.84,2637.29,2656.04,199513
197,2024-10-04,2655.62,2670.15,2632.02,2652.78,188368
198,2024-10-07,2650.31,2659.61,2637.76,2643.06,193714
199,2024-10-08,2641.62,2653.03,2604.76,2621.35,255902
200,2024-10-09,2621.66,2624.3,2605.17,2608.34,194863
201,2024-10-10,2607.71,2631.48,2603.28,2629.46,191771
202,2024-10-11,2628.17,2661.4,2627.97,2657.0,167945
203,2024-10-14,2649.93,2666.81,2643.16,2647.79,156013
204,2024-10-15,2648.87,2668.89,2638.06,2662.47,194693
205,2024-10-16,2662.12,2685.3,2658.64,2673.46,184182
206,2024-10-17,2674.44,2696.73,2673.15,2692.65,202716
207,2024-10-18,2693.06,2722.52,2691.63,2722.08,194164
208,2024-10-21,2722.25,2740.55,2714.18,2719.45,223444
209,2024-10-22,2719.14,2748.86,2718.92,2748.48,198449
210,2024-10-23,2747.24,2758.45,2708.7,2716.2,216188
211,2024-10-24,2716.27,2743.24,2714.87,2735.82,194775
212,2024-10-25,2735.79,2747.73,2717.04,2746.16,173236
213,2024-10-28,2733.5,2745.94,2724.69,2742.47,168800
214,2024-10-29,2740.59,2774.74,2739.7,2773.97,172235
215,2024-10-30,2773.27,2790.01,2770.9,2786.65,194670
216,2024-10-31,2786.33,2790.09,2731.54,2743.51,200069
217,2024-11-01,2745.27,2762.25,2733.24,2735.26,214207
218,2024-11-04,2732.48,2748.18,2731.81,2736.41,187126
219,2024-11-05,2737.24,2749.97,2724.67,2743.64,185675
220,2024-11-06,2742.98,2749.67,2652.38,2659.33,334325
221,2024-11-07,2661.69,2710.25,2643.23,2707.94,243299
222,2024-11-08,2704.21,2710.29,2680.25,2684.57,211614
223,2024-11-11,2682.94,2686.09,2610.67,2619.62,212202
224,2024-11-12,2621.08,2627.14,2589.64,2598.2,222257
225,2024-11-13,2597.87,2618.78,2573.01,2573.44,226995
226,2024-11-14,2573.43,2581.17,2536.83,2565.56,251822
227,2024-11-15,2566.25,2576.04,2554.48,2561.73,231788
228,2024-11-18,2567.84,2615.04,2567.84,2612.26,217011
229,2024-11-19,2610.35,2639.44,2610.16,2632.48,223891
230,2024-11-20,2632.24,2655.46,2618.81,2649.29,195725
231,2024-11-21,2649.17,2673.5,2648.81,2669.62,194523
232,2024-11-22,2669.41,2715.27,2668.1,2714.41,232256
233,2024-11-25,2711.87,2721.22,2615.6,2625.7,247866
234,2024-11-26,2626.94,2642.05,2604.79,2632.33,211011
235,2024-11-27,2630.48,2658.22,2627.06,2635.55,184561
236,2024-11-28,2636.76,2649.65,2620.93,2637.96,114516
237,2024-11-29,2637.85,2666.3,2634.04,2649.33,178430
238,2024-12-02,2648.97,2651.74,2621.93,2638.5,235096
239,2024-12-03,2638.7,2655.66,2634.1,2643.83,205875
240,2024-12-04,2642.34,2657.1,2632.43,2649.7,194109
241,2024-12-05,2648.15,2655.48,2623.54,2632.19,176034
242,2024-12-06,2631.66,2645.63,2613.04,2633.05,203697
243,2024-12-09,2642.99,2676.38,2627.46,2659.73,214364
244,2024-12-10,2660.75,2695.56,2657.81,2692.28,187236
