,number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_steps,params_vf_coef,state
0,0,3.9246797100873665,2024-12-10 13:42:28.955047,2024-12-10 13:48:31.875346,0 days 00:06:02.920299,0.018697538150419496,0.8607222844990892,0.9454737047509695,0.00019407902478107468,4.344302007195416,315,0.9740435303521127,COMPLETE
1,1,3.2811076521873472,2024-12-10 13:48:31.876346,2024-12-10 13:57:16.731412,0 days 00:08:44.855066,0.00024343598692141337,0.9021006719618742,0.8646728739713806,3.0369901309075263e-05,1.883059709954339,68,0.7522533427853699,COMPLETE
2,2,4.10338954180479,2024-12-10 13:57:16.733415,2024-12-10 14:02:49.487656,0 days 00:05:32.754241,0.003033136244862451,0.950863271355788,0.9802853952274344,3.5588077715994256e-05,3.9725104800071773,1031,0.18709688542377823,COMPLETE
3,3,3.1418092221021654,2024-12-10 14:02:49.489652,2024-12-10 14:12:09.578694,0 days 00:09:20.089042,8.968607740004728e-07,0.8792911568739094,0.8753221809322224,1.7697990610106622e-05,4.875966766248167,24,0.4502249028674298,COMPLETE
4,4,3.910539151728153,2024-12-10 14:12:09.579693,2024-12-10 14:18:31.337441,0 days 00:06:21.757748,1.1449665536149335e-07,0.8950502427379684,0.9830080468164519,0.0006042698077085455,4.429639263178849,1587,0.29992884205162573,COMPLETE
5,5,3.4210294373333454,2024-12-10 14:18:31.338441,2024-12-10 14:25:25.178753,0 days 00:06:53.840312,7.565636079403325e-06,0.8807394705602157,0.8933860171197384,2.3958437661244716e-05,3.852509372731226,97,0.6243064285000075,COMPLETE
6,6,3.4591242018155755,2024-12-10 14:25:25.178753,2024-12-10 14:33:45.153171,0 days 00:08:19.974418,0.0017795089680228391,0.9686811839861498,0.8210422209119487,5.9503459725149885e-05,2.1954860043142723,16,0.2163576441269061,COMPLETE
7,7,3.864111426100135,2024-12-10 14:33:45.155097,2024-12-10 14:44:52.305165,0 days 00:11:07.150068,6.115768149518866e-07,0.8688051882660957,0.9956663783933813,0.00011372122591014814,4.369907056847267,42,0.17535340956272538,COMPLETE
8,8,3.451942523382604,2024-12-10 14:44:52.306164,2024-12-10 14:50:31.025121,0 days 00:05:38.718957,9.470448483165202e-07,0.933813925497719,0.9663203264769169,0.0002819182038345914,2.3438931763665996,926,0.5236435177910771,COMPLETE
9,9,3.7839547052979468,2024-12-10 14:50:31.026121,2024-12-10 14:56:35.890934,0 days 00:06:04.864813,0.011196291432955809,0.8007321005717638,0.8507250767986613,0.0002173930775170229,1.118724891458773,431,0.6136120623898846,COMPLETE
10,10,3.908051117346622,2024-12-10 14:56:35.891934,2024-12-10 15:02:18.240626,0 days 00:05:42.348692,0.09097800748233068,0.9966194138690612,0.9403438844360267,5.858076588322713e-05,3.3174038846439267,723,0.35795934169518595,COMPLETE
11,11,3.158013294637203,2024-12-10 15:02:18.240626,2024-12-10 15:07:18.873527,0 days 00:05:00.632901,0.00037020367960831693,0.834163397499098,0.936165115234527,1.1573030681402493e-05,3.31904489624125,269,0.9783499089337363,COMPLETE
12,12,3.883402614668012,2024-12-10 15:07:18.875527,2024-12-10 15:13:57.810418,0 days 00:06:38.934891,0.026165952053019352,0.9329387462843419,0.9326674636407996,0.0009248705299995409,3.5154003144904564,176,0.9760844452933201,COMPLETE
13,13,4.207894709706307,2024-12-10 15:13:57.810418,2024-12-10 15:19:45.803451,0 days 00:05:47.993033,0.001994331841953709,0.9363606565176911,0.954230120769934,0.00013853116424845157,4.90321360387248,1955,0.8111658321041526,COMPLETE
14,14,4.545840205252171,2024-12-10 15:19:45.803451,2024-12-10 15:25:15.917640,0 days 00:05:30.114189,5.37310906449304e-05,0.9415266797374211,0.9114223613867303,5.6157992158580016e-05,4.91890412218879,2022,0.7062134102712172,COMPLETE
15,15,4.120477986522019,2024-12-10 15:25:15.918640,2024-12-10 15:32:33.920200,0 days 00:07:18.001560,2.4028656051494066e-05,0.9790955420623513,0.9102420172374085,0.00010094637115112598,4.997643264760491,1969,0.7673031376175191,COMPLETE
16,16,3.3823727490380406,2024-12-10 15:32:33.923404,2024-12-10 15:39:04.056374,0 days 00:06:30.132970,0.00012704750234160072,0.9196787002699988,0.907287635356716,5.8286880385749387e-05,0.7847099733433442,529,0.8055766479877825,COMPLETE
17,17,3.6377157071605324,2024-12-10 15:39:04.058365,2024-12-10 15:45:32.888489,0 days 00:06:28.830124,9.52700902310421e-06,0.9592380275365019,0.8008301416778345,0.0003787165678452599,2.93665173651572,1306,0.849968533888868,COMPLETE
18,18,4.149291137047112,2024-12-10 15:45:32.889488,2024-12-10 15:51:11.588231,0 days 00:05:38.698743,0.0009095239986056128,0.9150712411325271,0.959881081025553,0.00015590855480155985,4.67941983244224,2043,0.694313835182097,COMPLETE
19,19,3.6537524956976997,2024-12-10 15:51:11.592587,2024-12-10 15:57:04.825341,0 days 00:05:53.232754,6.756472673931778e-05,0.944494000336402,0.917112908763729,7.656103733150646e-05,3.951720310221515,158,0.8332481932172344,COMPLETE
20,20,3.963050051033497,2024-12-10 15:57:04.825341,2024-12-10 16:01:42.010414,0 days 00:04:37.185073,1.564581619809005e-08,0.971934572601489,0.8872595774899927,4.124731224600011e-05,1.535246579965426,654,0.8937405078562611,COMPLETE
21,21,3.8779575621709226,2024-12-10 16:01:42.010414,2024-12-10 16:06:49.583491,0 days 00:05:07.573077,0.001126074323408731,0.9165831013840551,0.9609083891321272,0.00014334116793587054,4.608288150362344,1839,0.678360624842546,COMPLETE
22,22,3.992852732911706,2024-12-10 16:06:49.583491,2024-12-10 16:11:23.651404,0 days 00:04:34.067913,0.0006443096333026863,0.9118699105869217,0.9568082744666778,0.00015341184502434347,4.944876670533024,1122,0.6942229917805922,COMPLETE
23,23,3.825641740858555,2024-12-10 16:11:23.667028,2024-12-10 16:16:38.164402,0 days 00:05:14.497374,0.0029256149101885083,0.9318545862433476,0.9992851415599591,0.00042861036468139837,4.633992179739014,1859,0.5173154415636737,COMPLETE
24,24,3.7261556345969438,2024-12-10 16:16:38.166239,2024-12-10 16:22:14.856180,0 days 00:05:36.689941,2.6296188682064825e-05,0.9885770875637738,0.9191073190217738,9.566506205823892e-05,4.1278747323673874,1077,0.7021547502360452,COMPLETE
25,25,3.8003253540024162,2024-12-10 16:22:14.857179,2024-12-10 16:27:07.559542,0 days 00:04:52.702363,0.004406245651718186,0.9539877590417364,0.971784811564933,0.00014085901660148076,3.6217473626543653,776,0.5909929908212286,COMPLETE
26,26,3.746812385087833,2024-12-10 16:27:07.559542,2024-12-10 16:32:23.503813,0 days 00:05:15.944271,0.00010148495860467893,0.899503265156667,0.9516106895243673,0.0002530049385528531,4.676572169947361,1368,0.899781799372167,COMPLETE
27,27,3.6958412854000926,2024-12-10 16:32:23.503813,2024-12-10 16:37:53.768745,0 days 00:05:30.264932,0.0003333598351737595,0.9259900264644183,0.9187044846742628,7.157859697565959e-05,2.802280034197822,330,0.4615998354893411,COMPLETE
28,28,3.955261873267591,2024-12-10 16:37:53.768745,2024-12-10 16:43:02.636331,0 days 00:05:08.867586,3.3182160165400122e-06,0.9424868505237028,0.9337223899234999,4.5226869571818066e-05,4.2634083420298445,488,0.7319534348547271,COMPLETE
29,29,3.580847143381834,2024-12-10 16:43:02.636331,2024-12-10 16:49:57.973540,0 days 00:06:55.337209,0.010228009911747936,0.8479492907653929,0.9476169003164278,0.0001886545573217848,4.51368495069105,308,0.6432991320337051,COMPLETE
30,30,3.8403332628309728,2024-12-10 16:49:57.973540,2024-12-10 16:55:53.169868,0 days 00:05:55.196328,0.05827955407187755,0.8902040300563203,0.9007387925521032,0.00034574611414842294,3.6933083970001026,1568,0.9128568419671961,COMPLETE
31,31,3.867256651818752,2024-12-10 16:55:53.170868,2024-12-10 17:03:02.242698,0 days 00:07:09.071830,2.9316427726538892e-05,0.9817926519074168,0.9228137613213999,9.338178064789826e-05,4.861453531465554,1956,0.7724350376812322,COMPLETE
32,32,4.008420639671385,2024-12-10 17:03:02.249784,2024-12-10 17:10:45.295520,0 days 00:07:43.045736,1.2948895975034474e-05,0.9693031198346614,0.8779309816940716,0.00011668905326520685,4.831092179069234,1932,0.7819233068472116,COMPLETE
33,33,3.7353057374246417,2024-12-10 17:10:45.295520,2024-12-10 17:17:33.820484,0 days 00:06:48.524964,0.00016418517926702607,0.9085868459820632,0.8639491218512872,0.00017068983613124445,4.254134586115152,1325,0.7298738848482882,COMPLETE
34,34,4.139125940203667,2024-12-10 17:17:33.820484,2024-12-10 17:23:39.404967,0 days 00:06:05.584483,5.047825866472747e-05,0.942031821170623,0.9839821798764363,2.49493591714696e-05,4.989553679576749,1059,0.8391668462382325,COMPLETE
35,35,3.868382915854454,2024-12-10 17:23:39.406965,2024-12-10 17:29:44.042852,0 days 00:06:04.635887,0.0011817625078690496,0.9443501558582206,0.9767792902146515,2.5722571934193113e-05,4.111918052132156,860,0.8615641658274453,COMPLETE
36,36,4.432370914518833,2024-12-10 17:29:44.044837,2024-12-10 17:36:25.360365,0 days 00:06:41.315528,3.4845041119680155e-06,0.9571734561526943,0.9867266803460978,1.7133095262814e-05,4.577113476512536,1308,0.5624554409790841,COMPLETE
37,37,3.658193488419056,2024-12-10 17:36:25.361227,2024-12-10 17:43:26.980899,0 days 00:07:01.619672,1.8818252689276683e-06,0.9586491018364877,0.9844305948712903,1.3913089941871464e-05,4.543487282646133,1407,0.5486147282669446,COMPLETE
38,38,3.9804355062544348,2024-12-10 17:43:26.982898,2024-12-10 17:52:47.233319,0 days 00:09:20.250421,1.982208451743944e-07,0.9245269949197419,0.9667786082810074,3.3263207066583216e-05,3.903671595221753,77,0.44321115562326846,COMPLETE
39,39,4.247896595299244,2024-12-10 17:52:47.235320,2024-12-10 17:58:39.395404,0 days 00:05:52.160084,4.194150056445865e-06,0.905582735899928,0.9907865001683714,2.00523637003664e-05,4.3881439532962965,554,0.10870168002058284,COMPLETE
40,40,4.416678805649281,2024-12-10 17:58:39.398403,2024-12-10 18:05:38.087447,0 days 00:06:58.689044,2.9266126191501004e-06,0.8850342176886573,0.9897775752939366,1.8061106797703926e-05,4.2135378805466,699,0.13568719774969643,COMPLETE
41,41,4.355491204559803,2024-12-10 18:05:38.088447,2024-12-10 18:11:58.780283,0 days 00:06:20.691836,3.923529174233668e-06,0.8870268736806283,0.9918330904687365,2.0978646215762946e-05,4.408717407353841,607,0.10298234246952549,COMPLETE
42,42,4.060404933989048,2024-12-10 18:11:58.782282,2024-12-10 18:18:35.199381,0 days 00:06:36.417099,3.9652921584907765e-06,0.8818318742548704,0.9869137427183995,1.825862244559435e-05,4.368563555670351,578,0.119508696283113,COMPLETE
43,43,4.58284942060709,2024-12-10 18:18:35.200378,2024-12-10 18:25:22.235716,0 days 00:06:47.035338,8.606120624938032e-07,0.8663883299272177,0.9941583794991257,1.8316182003977477e-05,4.135429635411204,428,0.27116646748953216,COMPLETE
