,Date,Open,High,Low,Close,Volume
0,2023-01-02,1.06998,1.07075,1.06504,1.0657,22291
1,2023-01-03,1.06589,1.0682,1.05194,1.05477,113528
2,2023-01-04,1.05473,1.06355,1.05407,1.06033,114170
3,2023-01-05,1.06029,1.06313,1.0515,1.05203,90875
4,2023-01-06,1.05202,1.0648,1.04813,1.0642800000000001,91420
5,2023-01-09,1.06394,1.07605,1.0636,1.07324,80139
6,2023-01-10,1.0731600000000001,1.07593,1.07121,1.07333,88100
7,2023-01-11,1.0733,1.07763,1.07254,1.07566,73052
8,2023-01-12,1.07556,1.08669,1.07305,1.08491,104378
9,2023-01-13,1.0849,1.08678,1.07803,1.08304,91269
10,2023-01-16,1.08312,1.08741,1.08015,1.0823,55009
11,2023-01-17,1.08222,1.08694,1.07744,1.07867,93590
12,2023-01-18,1.07869,1.08873,1.07661,1.07932,110463
13,2023-01-19,1.07922,1.08399,1.0782,1.08299,85423
14,2023-01-20,1.08297,1.08587,1.08023,1.08542,69401
15,2023-01-23,1.08618,1.09264,1.08462,1.08705,72174
16,2023-01-24,1.08704,1.08979,1.08351,1.0887,68314
17,2023-01-25,1.08864,1.09237,1.08571,1.09141,69197
18,2023-01-26,1.09141,1.09293,1.08503,1.08901,70447
19,2023-01-27,1.08895,1.09002,1.08375,1.08666,63322
20,2023-01-30,1.08595,1.09137,1.08391,1.08505,68803
21,2023-01-31,1.08497,1.08748,1.0802,1.08618,71065
22,2023-02-01,1.08618,1.10008,1.08521,1.09881,77467
23,2023-02-02,1.09879,1.1033,1.08851,1.09089,93949
24,2023-02-03,1.09086,1.09401,1.07917,1.0792,85289
25,2023-02-06,1.07904,1.07988,1.07089,1.0723799999999999,71824
26,2023-02-07,1.07239,1.0766499999999999,1.0669,1.07263,92053
27,2023-02-08,1.07253,1.07607,1.07094,1.07131,63446
28,2023-02-09,1.07126,1.07907,1.0708199999999999,1.07375,66682
29,2023-02-10,1.0737,1.07527,1.06662,1.06754,69508
30,2023-02-13,1.06793,1.0729899999999999,1.06555,1.07234,57325
31,2023-02-14,1.07229,1.08028,1.07067,1.07345,91812
32,2023-02-15,1.07347,1.07445,1.06606,1.06867,69504
33,2023-02-16,1.06868,1.07223,1.06545,1.06715,75384
34,2023-02-17,1.0671599999999999,1.06984,1.06126,1.06923,68610
35,2023-02-20,1.0688,1.07047,1.06701,1.06836,39190
36,2023-02-21,1.06834,1.06982,1.06374,1.06456,74979
37,2023-02-22,1.06455,1.0664,1.0599,1.0603,73493
